token,bech32_address,quantity,token_amount,hex_address
WRT,addr1wypr0np3xatwhddulsnj3aaac65qg768zgs2xpd2xuaj0zscmvh0n,18802768670327,18802768.670327,710237cc313756ebb5bcfc2728f7bdc6a8047b471220a305aa373b278a
WRT,addr1zxhew7fmsup08qvhdnkg8ccra88pw7q5trrncja3dlszhqcllwkvdsx343mwz43dgq9gaxg7ah3zzrrfr76rxqy3wxcqeapnzx,15889017227655,15889017.227655,11af97793b8702f381976cec83e303e9ce17781458c73c4bb16fe02b831ffbacc6c0d1ac76e1562d400a8e991eede2210c691fb433009171b0
WRT,addr1wy9z0v8mrkhtyll43fu6mnhu0p87tna48xt4p56496x9f7g940jft,13797083749206,13797083.749206,710a27b0fb1daeb27ff58a79adcefc784fe5cfb5399750d3552e8c54f9
WRT,addr1q8fhnpzgdukm4fc8xatkpx6kmdev7h22ze8nm52l6fanezx402a20lzdd0zjfg0xzl3fn3hjryk0cm9elz5x8qkf2gsstfac8t,8805566666666,8805566.666666,01d37984486f2dbaa7073757609b56db72cf5d4a164f3dd15fd27b3c88d57abaa7fc4d6bc524a1e617e299c6f2192cfc6cb9f8a86382c95221
WRT,addr1qyr6ddcy3cc0srahvqxkzxctr4h84nml9ngtsdluet0037jyhckm3y40uh68rvjwtap89s7pqkfw2z65fu97m624fe4seq346u,7560817668505,7560817.668505,0107a6b7048e30f80fb7600d611b0b1d6e7acf7f2cd0b837fccadef8fa44be2db892afe5f471b24e5f4272c3c10592e50b544f0bede9554e6b
WRT,addr1qyk9t3uyjvk2v3eny2vv5mt93z4laqdcmsm9dpgnjl9ph20rpxjxxg2ljjn7prtanxktqg0vnrcstn38cccf5fq5tghsqvl0dq,4905841412632,4905841.412632,012c55c784932ca647332298ca6d6588abfe81b8dc3656851397ca1ba9e309a463215f94a7e08d7d99acb021ec98f105ce27c6309a24145a2f
WRT,addr1q8w3amqje077s8vwrzvy9qgfuj9s77shdlz8j6h8xea0x2uqx236903qpv4g2ngagrthw4q0s0kr3gr9cnj7ygzay2jq0us3hj,2249963845241,2249963.845241,01dd1eec12cbfde81d8e1898428109e48b0f7a176fc4796ae7367af32b8032a3a2be200b2a854d1d40d777540f83ec38a065c4e5e2205d22a4
WRT,addr1z8nvjzjeydcn4atcd93aac8allvrpjn7pjr2qsweukpnaytvcg6zm2vds6mz9x3h3yalqmnf24w86m09n40q3tgqxjms9yu6v8,2098983258722,2098983.258722,11e6c90a5923713af5786963dee0fdffd830ca7e0c86a041d9e5833e916cc2342da98d86b6229a37893bf06e69555c7d6de59d5e08ad0034b7
WRT,addr1x8pydstdswmdqmg2rdt59dzql3zgfp9pt8sulnjgalycwdssxdwtkts49uw77gv6ck8st7qtfkq52ph08ywgn8p9h8csn2vzgr,1625025570073,1625025.570073,31c246c16d83b6d06d0a1b5742b440fc448484a159e1cfce48efc9873610335cbb2e152f1def219ac58f05f80b4d814506ef391c899c25b9f1
WRT,addr1qxanpvy0369alsd74930yyh3pr72yv8qykw7jx48rzygx74zs9da8rkttujlp7gkfwzuxru53t7r9gfmjnzv3wpxd5tsaswevv,1369642857013,1369642.857013,01bb30b08f8e8bdfc1bea962f212f108fca230e0259de91aa71888837aa2815bd38ecb5f25f0f9164b85c30f948afc32a13b94c4c8b8266d17
