final_holder_id,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance,is_virtual,all_bech32_addresses,has_script_address
holder::addr1qydypcg5n7tkdpyvhag832wg5zasdlp5pf3fd7smn3f2a4qztlcxywpwegfdazqlnapk6m7jq9jh7zva30r4emd0gxzqw6k02d,943,4121.318116,1211.4,0.0,0.0,0.0,0.0,2.6,0.0,1.0,0.0,1216.04043,0.0,168,0,0.0,0.0,2.6,1.0,1216.04043,168,2909.918116,True,['addr1qydypcg5n7tkdpyvhag832wg5zasdlp5pf3fd7smn3f2a4qztlcxywpwegfdazqlnapk6m7jq9jh7zva30r4emd0gxzqw6k02d'],False
holder::addr1v80rc443e7kdya5epx90grwapc0h8cdxp9wd6hyztc2deysewgkm4,113,17743.052489,17724.161759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,154,2,0.0,0.0,0.0,1.0,0.0,152,18.89073,True,['addr1v80rc443e7kdya5epx90grwapc0h8cdxp9wd6hyztc2deysewgkm4'],False
holder::addr1v83gkkw3nqzakg5xynlurqcfqhgd65vkfvf5xv8tx25ufds2yvy2h,43246,731511685.127116,731222757.137427,0.0,0.0,0.0,0.0,0.0,0.0,3352.0,3350.0,108264.719488,108200.1224,168,167,0.0,0.0,0.0,2.0,64.597088,168,333928.01231,True,['addr1v83gkkw3nqzakg5xynlurqcfqhgd65vkfvf5xv8tx25ufds2yvy2h'],False
holder::addr1v8aqm9nrzrnymauz0lj99eq83ufpwndw5hmtp8vn2v3xhacxamuvf,8,73.20424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,155,0,0.0,0.0,0.0,2.0,0.0,155,73.20424,True,['addr1v8aqm9nrzrnymauz0lj99eq83ufpwndw5hmtp8vn2v3xhacxamuvf'],False
holder::addr1v8ph9r88z8ahuj7erx7w00pgg5p0wnschjju707hsqad52qwnuu3r,1,1.06026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1975.0,0.0,1,1.06026,True,['addr1v8ph9r88z8ahuj7erx7w00pgg5p0wnschjju707hsqad52qwnuu3r'],False
holder::addr1v8yjnc5wd73xz8rzcxl5u05q7yjqjrep3xfgkqajhmz7cjg4g6ayj,4,85.30783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,63.774356,0.0,579,0,0.0,0.0,0.0,22.0,63.774356,579,85.30783,True,['addr1v8yjnc5wd73xz8rzcxl5u05q7yjqjrep3xfgkqajhmz7cjg4g6ayj'],False
holder::addr1v9pu5m86fjdp2rg8wk6c8yuv2vt3feyp8uxxylgkz5hz4ns84x3uz,1,14.97725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.700005,0.0,0.0,0.0,121,0,0.0,0.0,0.0,25.700005,0.0,121,14.97725,True,['addr1v9pu5m86fjdp2rg8wk6c8yuv2vt3feyp8uxxylgkz5hz4ns84x3uz'],False
holder::addr1v9rmqw9pgyw06zuq6rw8p3dle7zzp52sv6ylpnq86umfn9qcul0a2,420,1612569485.773179,1612548035.209734,0.0,0.0,0.0,0.0,80.677786,0.0,30.5,0.0,41610.331464,38209.164405,1999,281,0.0,0.0,80.677786,30.5,3401.167059,1999,21450.563445,True,['addr1v9rmqw9pgyw06zuq6rw8p3dle7zzp52sv6ylpnq86umfn9qcul0a2'],False
holder::addr1v9zzyac44ltzlhyspl3mskxfnqq2k7fpuemxy6j5ywczp7q06h2j6,6,23.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,121,0,0.0,0.0,0.0,8.0,0.0,121,23.6188,True,['addr1v9zzyac44ltzlhyspl3mskxfnqq2k7fpuemxy6j5ywczp7q06h2j6'],False
holder::addr1vxh799ffmedlxexlgp3ajmlqlwhah4n9x7tylm5ksq5s9wsgh8z3q,3,4.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24998.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,24998.0,0.0,1,4.44444,True,['addr1vxh799ffmedlxexlgp3ajmlqlwhah4n9x7tylm5ksq5s9wsgh8z3q'],False
holder::addr1vxhjrezujeytv2mcr4u7xjehkqh8x6fkqr4u7vxcd2mme0cknsgsu,1,4.19363,0.0,0.0,0.0,0.0,0.0,27.006476,0.0,6.507584,0.0,32.018878,0.0,18,0,0.0,0.0,27.006476,6.507584,32.018878,18,4.19363,True,['addr1vxhjrezujeytv2mcr4u7xjehkqh8x6fkqr4u7vxcd2mme0cknsgsu'],False
holder::addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5,10469,47086.55144,0.0,5229.048445,0.0,1298.0,0.0,111331.385598,0.0,233.307377,0.0,92814.432268,0.0,73301,0,5229.048445,1298.0,105226.894429,233.307377,92814.432268,73301,47092.551434,True,['addr1vxytw7xz99svpv8w5lk2r9j9mxe8p82m2v3qaj0xgalj4ds2jsgq5'],False
holder::addr1vyx4wqxzqwkxpfd3apq0c5y2ac2axmawp7v3zhf4j7xxmrqxanz5d,1,228.24276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68,0,0.0,0.0,0.0,1.0,0.0,68,228.24276,True,['addr1vyx4wqxzqwkxpfd3apq0c5y2ac2axmawp7v3zhf4j7xxmrqxanz5d'],False
holder::addr1w87vg0x4k2x95dlp7mrlef909lgk25kgajhk2dxzxk0tquclfp0at,80,2076.179568,1009.138556,579.22309,0.0,0.0,0.0,1742.588851,0.0,1235.857887,0.0,32745.505,0.0,38,2,579.22309,0.0,1742.588851,1235.857887,32745.505,38,1067.041012,True,['addr1w87vg0x4k2x95dlp7mrlef909lgk25kgajhk2dxzxk0tquclfp0at'],True
holder::addr1w8lpe7hvt09cvkflnqkgl7qjfvlclt84hvj53ms2qgac8zcp805uv,3,27.789989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.429401,0.0,0.0,0.0,3,0,0.0,0.0,0.0,288.429401,0.0,3,27.789989,True,['addr1w8lpe7hvt09cvkflnqkgl7qjfvlclt84hvj53ms2qgac8zcp805uv'],True
holder::addr1w8nvjzjeydcn4atcd93aac8allvrpjn7pjr2qsweukpnayghhwcpj,2488,4530911.327637,4530125.815137,2942.0,2942.0,1474.0,1473.0,4400877.879992,4400203.565554,1297535.52755,1297447.802373,3002589.000418,3001326.824783,1029,934,0.0,1.0,674.314438,87.725177,1262.175635,305,785.5125,True,['addr1w8nvjzjeydcn4atcd93aac8allvrpjn7pjr2qsweukpnayghhwcpj'],True
holder::addr1w8qmxkacjdffxah0l3qg8hq2pmvs58q8lcy42zy9kda2ylc6dy5r4,17270,26962.638636,0.0,7.290816,0.0,21.0,0.0,1072.198013,0.0,143.364592,0.0,1282.801017,0.0,27730,0,7.290816,21.0,1071.302079,143.364592,1282.801017,27730,26968.957096,True,['addr1w8qmxkacjdffxah0l3qg8hq2pmvs58q8lcy42zy9kda2ylc6dy5r4'],True
holder::addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte,305106,85634499.676421,85599540.207984,1752410.983056,1752410.983056,0.0,0.0,0.0,0.0,34624046.672796,34464045.06609,307699.055085,307699.055085,201,201,0.0,0.0,0.0,160001.606706,0.0,28,34959.468437,True,['addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte'],True
holder::addr1w8rjydwz0keuewc9nmnvvw8zsn44a8zg887yd6u5jyha2tscwxlrv,1,195.997694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4115.025443,0.0,0.0,0.0,1,0,0.0,0.0,0.0,4115.025443,0.0,1,195.997694,True,['addr1w8rjydwz0keuewc9nmnvvw8zsn44a8zg887yd6u5jyha2tscwxlrv'],True
holder::addr1w8uv96ndu82zgwckmsfk9tf5c6le8m0v0fyaq4csw9etgqswuk5w2,3089,502008.860676,501992.960676,0.0,0.0,0.0,0.0,0.0,0.0,1921773.360598,1908354.360599,0.0,0.0,2,2,0.0,0.0,0.0,13418.999999,0.0,1,15.9,True,['addr1w8uv96ndu82zgwckmsfk9tf5c6le8m0v0fyaq4csw9etgqswuk5w2'],True
