bech32_address,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,hex_address,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance
addr1zxhew7fmsup08qvhdnkg8ccra88pw7q5trrncja3dlszhqcllwkvdsx343mwz43dgq9gaxg7ah3zzrrfr76rxqy3wxcqeapnzx,3312,1616848899.715349,1616493478.006337,0.0,0.0,0.0,0.0,0.0,0.0,42779232925.73847,42763334914.66461,0.0,0.0,3,3,11af97793b8702f381976cec83e303e9ce17781458c73c4bb16fe02b831ffbacc6c0d1ac76e1562d400a8e991eede2210c691fb433009171b0,0.0,0.0,0.0,15906809.387003,0.0,3,355231.554617
addr1wy9z0v8mrkhtyll43fu6mnhu0p87tna48xt4p56496x9f7g940jft,2949,5504.49444,4956.38249,0.0,0.0,0.0,0.0,0.0,0.0,116743987.551725,102946903.802519,0.0,0.0,1,1,710a27b0fb1daeb27ff58a79adcefc784fe5cfb5399750d3552e8c54f9,0.0,0.0,0.0,13797083.749206,0.0,1,548.11195
addr1q8fhnpzgdukm4fc8xatkpx6kmdev7h22ze8nm52l6fanezx402a20lzdd0zjfg0xzl3fn3hjryk0cm9elz5x8qkf2gsstfac8t,1,1010.909314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8805566.666666,0.0,0.0,0.0,2,0,01d37984486f2dbaa7073757609b56db72cf5d4a164f3dd15fd27b3c88d57abaa7fc4d6bc524a1e617e299c6f2192cfc6cb9f8a86382c95221,0.0,0.0,0.0,8805566.666666,0.0,2,1010.909314
addr1qyr6ddcy3cc0srahvqxkzxctr4h84nml9ngtsdluet0037jyhckm3y40uh68rvjwtap89s7pqkfw2z65fu97m624fe4seq346u,35,9954.666601,9592.956809,0.0,0.0,0.0,0.0,0.0,0.0,539527077.049635,531966259.38113,0.0,0.0,12,6,0107a6b7048e30f80fb7600d611b0b1d6e7acf7f2cd0b837fccadef8fa44be2db892afe5f471b24e5f4272c3c10592e50b544f0bede9554e6b,0.0,0.0,0.0,7560817.668505,0.0,12,361.709792
addr1qyk9t3uyjvk2v3eny2vv5mt93z4laqdcmsm9dpgnjl9ph20rpxjxxg2ljjn7prtanxktqg0vnrcstn38cccf5fq5tghsqvl0dq,58,1542551.271215,1540866.792671,0.0,0.0,0.0,0.0,0.0,0.0,768068915.976427,763163074.563795,0.0,0.0,9,9,012c55c784932ca647332298ca6d6588abfe81b8dc3656851397ca1ba9e309a463215f94a7e08d7d99acb021ec98f105ce27c6309a24145a2f,0.0,0.0,0.0,4905841.412632,0.0,1,1684.478544
addr1q8w3amqje077s8vwrzvy9qgfuj9s77shdlz8j6h8xea0x2uqx236903qpv4g2ngagrthw4q0s0kr3gr9cnj7ygzay2jq0us3hj,370,115866.109106,114882.963692,0.0,0.0,0.0,0.0,0.0,0.0,50349056.858913,48099093.013672,0.0,0.0,6,6,01dd1eec12cbfde81d8e1898428109e48b0f7a176fc4796ae7367af32b8032a3a2be200b2a854d1d40d777540f83ec38a065c4e5e2205d22a4,0.0,0.0,0.0,2249963.845241,0.0,6,1020.011304
addr1z8nvjzjeydcn4atcd93aac8allvrpjn7pjr2qsweukpnaytvcg6zm2vds6mz9x3h3yalqmnf24w86m09n40q3tgqxjms9yu6v8,40348,78974841231.31853,78974793589.33594,0.0,0.0,0.0,0.0,0.0,0.0,238395649214.9765,238393549500.47775,0.0,0.0,4,3,11e6c90a5923713af5786963dee0fdffd830ca7e0c86a041d9e5833e916cc2342da98d86b6229a37893bf06e69555c7d6de59d5e08ad0034b7,0.0,0.0,0.0,2090916.18559,0.0,4,47443.245009
addr1x8pydstdswmdqmg2rdt59dzql3zgfp9pt8sulnjgalycwdssxdwtkts49uw77gv6ck8st7qtfkq52ph08ywgn8p9h8csn2vzgr,6697,5727968956.270603,5726085759.420852,0.0,0.0,452951.0,442820.0,0.0,0.0,46874904.436298,45249878.866225,0.0,0.0,29,23,31c246c16d83b6d06d0a1b5742b440fc448484a159e1cfce48efc9873610335cbb2e152f1def219ac58f05f80b4d814506ef391c899c25b9f1,0.0,10131.0,0.0,1625025.570073,0.0,29,1883196.849751
addr1qxanpvy0369alsd74930yyh3pr72yv8qykw7jx48rzygx74zs9da8rkttujlp7gkfwzuxru53t7r9gfmjnzv3wpxd5tsaswevv,43,73773.744475,73756.692327,0.0,0.0,0.0,0.0,0.0,0.0,16629769.768573,15260126.91156,23647225.0,23647225.0,4,3,01bb30b08f8e8bdfc1bea962f212f108fca230e0259de91aa71888837aa2815bd38ecb5f25f0f9164b85c30f948afc32a13b94c4c8b8266d17,0.0,0.0,0.0,1369642.857013,0.0,2,17.052148
addr1qyf569gwulcfgw0jdjnla2m9tdunzv4autplntv8yd65l79jlu6r57wrsdlx4dwxvx3r0yw39tapp54qxuyxlpgdrv8q3vqm2k,9,239.760187,213.466847,0.0,0.0,0.0,0.0,128.300991,0.0,2416666.666666,1208333.333333,0.0,0.0,4,1,01134d150ee7f09439f26ca7feab655b793132bde2c3f9ad8723754ff8b2ff343a79c3837e6ab5c661a23791d12afa10d2a037086f850d1b0e,0.0,0.0,128.300991,1208333.333333,0.0,4,26.29334
